feature_id	Domain	Phylum	Class	Order	Family	Genus	Species
2f41742f9d807cb9df23f278d59d13b0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	uncultured bacterium
2f48ab3f1c064ad0cc3d56842b592031	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
2f4dc796a1a0c8df6c393cfc2b60ddfc	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides NA
2f4df96da311471df4ee1e07a1063771	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Prevotella enoeca
2f4ebbd4f9f26e2ba850e6b1d24439c3	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium NA
2f517238f5e9968e4a8774d4648011df	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	uncultured Deinococcus
2f5180398d4bcf550314f34ffc93e508	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	Butyrivibrio NA
2f5a6443534530b3a915b61c97552c9d	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonadaceae NA	Selenomonadaceae NA
2f5fdb5fa707fb1a0f8b7ef5b0a47ef1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria NA
2f6257e24bce3c340a4da2250d890013	Bacteria	Proteobacteria	Proteobacteria NA	Proteobacteria NA	Proteobacteria NA	Proteobacteria NA	Proteobacteria NA
2f63b57a695aa511f178f2e4b35d1b54	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	uncultured bacterium
2f664b85c9857bf51dccd58cf6c47230	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sputigena
2f67960e9ac04dc6972d84d46285c8f6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	uncultured bacterium
2f6797e2435056ea268952852dc918e0	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	uncultured	gut metagenome
2f68e8401c9b83046afbda467d3ba6d4	Unassigned	Unassigned NA	Unassigned NA	Unassigned NA	Unassigned NA	Unassigned NA	Unassigned NA
2f69f1432cc0f61bd2d3ef18bf028b4a	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae
2f6d5e0454c1138cdc01beb52a3e6cc4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas NA
2f6daa02d6e75ca58f60a6fe1d73f52e	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium NA
2f7128f05924c6173534546d7fe0cabd	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast NA
2f7a13c13416fff5be074cf32995ec44	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NA	Lachnospiraceae NA
2f7a48e163cb24602f675ef554213cd2	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospirales NA	Oscillospirales NA	Oscillospirales NA
2f7ae310bd1e3479a8e010ba2de61bbb	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea NA
2f7d30827129f2d357a5d861fa0539c4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga leadbetteri
2f86171d88d09c15e2515595bffad321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium NA
2f8e42d659b28b323c7f847ac78c9c2d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	Prevotella 9 NA
2f8eb9a6486f0b822c1e21916bc731c1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus NA
2f8ee834fe4c8af1ca8690b470819147	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella NA
2f8fbd7ca55796ec0e040208af8ccdb5	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	Eubacterium pyruvativorans
2f97492ef9c9571e2e76166dde9d64eb	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella NA
2f9cf32c88fa500e15c280eefab8368c	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis	uncultured bacterium
2fa4b814c91278d26f084ae42579769d	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	unidentified
2fa50641a49eafd0cde5d7b4c8588470	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila NA
2fa5f8208c269b9a0808567d50f42f3f	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Prevotella dentalis
2fac17ceb70776b8200c7ba516844b79	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia NA
2fac9c8adfa0a6848e4f968f3707eec3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oulorum
2faf9c0e43af34ee45e02f77ac16e879	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus NA
2fbb312163b63cb8af0571b1f3167c7c	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterellaceae NA	Sutterellaceae NA
2fbd3634e0158306b8bce16dd492abdd	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	uncultured bacterium
2fbee1a3e3b83440df2e41f4c2fa680b	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia NA
2fc539ceba103aebe1c3e30b9c86fd6e	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga granulosa
2fcb8aacd20ec8d977f25c90cf2b09b6	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	uncultured bacterium
2fd1a56439ee54b64c57aa5433e18d9d	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio fluvialis
2fd2d428f7eb7c42bd6fdd28765f4db6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium NA
2fd744ee105de1e31a87444373008bd4	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Fretibacterium	Fretibacterium NA
2fe468879e7b5ad2bc2450abfca4af3c	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio fairfieldensis
2ff2c0f8152640c6d7960764403a1c79	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	uncultured bacterium
2ff3b54a76ff8a0e10c9d65764e81854	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Johnsonella	Johnsonella ignava
